Demanda;Criado em;DRI Audiovisual;Data Entrega;Etapa;Área Demandadora
[REELS] [SKILLS] Primeiros 30 dias;December 10, 2024 4:00 PM;Gui Juhas;19/12/2024;Aprovado;Social G4
[REELS] [SKILLS] Problema vs. Solução;December 10, 2024 4:36 PM;Gui Juhas;13/12/2024;Aprovado;Social G4
[REELS] [SKILLS] 3 principais erros;December 10, 2024 4:53 PM;Gui Juhas;16/12/2024;Aprovado;Social G4
[REELS] [TALLIS] Vlog TG em Brasília;December 10, 2024 5:28 PM;Pedro Augusto;13/12/2024;Aprovado;
[REELS] [SKILLS] Funcionário briguento;December 10, 2024 5:44 PM;Gui Juhas;;Cancelado;Social G4
[REELS] [TALLIS] Eleições 2026;December 10, 2024 5:52 PM;Pedro Augusto;16/12/2024;Aprovado;
[Vídeos] [P&D] Longitude - Perguntas e Respostas | Jon;December 10, 2024 6:00 PM;Gui Juhas;;Aprovado;Educação
[REELS] [TALLIS] Marçal e Jojo Todynho;December 10, 2024 6:04 PM;Pedro Augusto;19/12/2024;Aprovado;
[REELS] [SKILLS] Framework 70/20/10;December 10, 2024 6:15 PM;Gui Juhas;17/12/2024;Aprovado;Social G4
[REELS] [TALLIS] Não existe elogio mais sincero que o dinheiro;December 10, 2024 6:25 PM;Pedro Augusto;;Aprovado;
[REELS] [TALLIS] Valores do G4;December 10, 2024 6:44 PM;Pedro Augusto;19/12/2024;Aprovado;
[REELS] [TALLIS] TG sobre Musk;December 10, 2024 6:59 PM;Pedro Augusto;19/12/2024;Aprovado;
[REELS] [NARDON] Agenda lotada;December 10, 2024 8:19 PM;Gustavo Cairo;13/12/2024;Aprovado;Social G4
[REELS] [SKILLS] Gestor bombeiro;December 10, 2024 9:48 PM;Gui Juhas;18/12/2024;Aprovado;Social G4
[REELS] [SKILLS] Demita 30%;December 10, 2024 10:31 PM;Gui Juhas;18/12/2024;Aprovado;Social G4
[REELS] [NARDON] Líder e reuniões;December 11, 2024 9:41 AM;Gustavo Cairo;;Aprovado;Social G4
[PODCAST] [EXTREMOS] ANO NOVO;December 11, 2024 3:13 PM;Wilson Silva;;Aprovado;Podcast
[REELS] [NARDON] Q&A ;December 12, 2024 12:03 PM;Pedro Augusto;19/12/2024;Aprovado;Social G4
[ADs] [IM] [GE/TRAC] CHAMADAS TG;December 13, 2024 1:31 PM;Pedro Augusto;;Aprovado;
[REELS] [G4] Urso sendo atropelado;December 13, 2024 2:20 PM;Wilson Silva;;Aprovado;Social G4
[REELS] [NARDON] Papo Dener;December 13, 2024 3:43 PM;Gui Juhas;19/12/2024;Aprovado;Social G4
[REELS] [NARDON] Papo Dener 2;December 13, 2024 4:18 PM;Gui Juhas;19/12/2024;Aprovado;Social G4
[REELS] [NARDON] Os maiores erros;December 13, 2024 9:38 PM;Gui Juhas;19/12/2024;Aprovado;Social G4
[REELS] [NARDON] Light copy;December 14, 2024 5:59 PM;Gui Juhas;19/12/2024;Aprovado;Social G4
[REELS] [SKILLS] Delegar;December 15, 2024 10:34 AM;Gui Juhas;19/12/2024;Aprovado;Social G4
[REELS] [SKILLS] Quando contratar;December 15, 2024 10:49 AM;Wilson Silva;19/12/2024;Aprovado;Social G4
[REELS] [NARDON] Os bons dos fodas;December 15, 2024 9:04 PM;Pedro Augusto;19/12/2024;Aprovado;Social G4
[REELS] [NARDON] Advogado do diabo;December 15, 2024 9:08 PM;Wilson Silva;17/12/2024;Aprovado;Social G4
[REELS] [NARDON] Remarketing;December 15, 2024 10:07 PM;Pedro Augusto;19/12/2024;Aprovado;Social G4
[REELS] [G4] LVMH no futebol;December 16, 2024 10:33 AM;Wilson Silva;19/12/2024;Aprovado;Social G4
[REELS] [G4] Abercrombie;December 16, 2024 10:42 AM;Wilson Silva;17/12/2024;Aprovado;Social G4
[LEARN BY DOING] [JOURNEY] Turma 02;December 16, 2024 10:53 AM;Lucas Liberato;;Aprovado;Educação
[REELS] [G4] Crumbl Cookies;December 16, 2024 10:56 AM;Wilson Silva;;Aprovado;Social G4
[REELS] [G4] 4 tipos de profissionais;December 16, 2024 11:09 AM;Wilson Silva;19/12/2024;Aprovado;Social G4
[REELS] [NARDON] Digital Finch;December 16, 2024 12:09 PM;Wilson Silva;19/12/2024;Aprovado;Social G4
[REELS] [NARDON] Ep. Natal Podcasts;December 16, 2024 2:04 PM;Gustavo Cairo;;Aprovado;Social G4
[BU] [SALA SECRETA - TESTE II] GEMP offer;December 16, 2024 2:17 PM;Gui Juhas;;Aprovado;Educação
[REELS] [TALLIS] Ajuste “Rotina - Bjj”;December 17, 2024 12:36 PM;Pedro Augusto;18/12/2024;Aprovado;
[Vídeos] [P&D Longitude] Edição_Jonathan Souza;December 18, 2024 12:10 PM;Gustavo Cairo;;Aprovado;Matricial
[PODCAST] [G4 PODCASTS] RETROSPECTIVA 2024;December 19, 2024 10:55 AM;Gustavo Cairo;;Aprovado;Podcast
[Víde de vendas] [Marketing] Vídeo reunião estratégica;December 19, 2024 5:31 PM;Gui Juhas;19/12/2024;Aprovado;Educação
[ADs] [Imersões] [Genérico] Misa - Remarketing;December 19, 2024 11:02 PM;Gustavo Cairo;20/12/2024;Aprovado;
[Disponibilização de aula] [JV] [19.12] [Sala Secreta];December 20, 2024 12:59 PM;Gui Juhas;;Aprovado;Matricial
[MATRICIAL][VALLEY 24] AULAS;January 6, 2025 12:57 PM;Gui Juhas;15/01/2025;Aprovado;Matricial
[PODCAST] EXTREMOS - Rafael Ferri e Felipe Corleta;January 6, 2025 5:31 PM;Gustavo Cairo;07/01/2025;Aprovado;Podcast
[PODCAST] PAPO DE GESTÃO - Mariane Morelli;January 6, 2025 5:32 PM;Raffaella Lima;08/01/2025;Aprovado;Podcast
[PODCAST] Geração G4 - Laurence Tataren;January 6, 2025 5:33 PM;Wilson Silva;08/01/2025;Aprovado;Podcast
[PODCAST] G4 PODCASTS - Monica Hauck;January 6, 2025 5:34 PM;Lucas Liberato;;Cancelado;Podcast
[PODCAST] PAPO DE GESTÃO - Iron Man;January 6, 2025 5:34 PM;Gustavo Cairo;14/01/2025;Aprovado;Podcast
[PODCAST] EXTREMOS - Bruno Perini;January 6, 2025 5:35 PM;Gustavo Cairo;14/01/2025;Aprovado;Podcast
[PODCAST] Geração G4 - Denis e o Danilo Finotti;January 6, 2025 5:36 PM;Lucas Liberato;15/01/2025;Aprovado;Podcast
[Vídeos] [P&D Longitude] Edição_Vídeos Corporativos;January 6, 2025 7:26 PM;Gustavo Cairo;07/01/2025;Aprovado;Educação
[REELS] [NARDON] Acredito em sorte;January 7, 2025 9:24 AM;Wilson Silva;10/01/2025;Aprovado;Social G4
[REELS] [TALLIS] React TG Zuck;January 7, 2025 3:14 PM;Pedro Augusto;07/01/2025;Aprovado;
[REELS] [G4] Zuck;January 7, 2025 3:40 PM;Wilson Silva;08/01/2025;Aprovado;Social G4
[REELS] [NARDON] Conselho Morelli;January 8, 2025 2:44 PM;Gustavo Cairo;13/01/2025;Aprovado;Social G4
[REELS] [NARDON] Ações Apple;January 8, 2025 2:58 PM;Raffaella Lima;13/01/2025;Aprovado;Social G4
[REELS] [NARDON] Especial IronMan;January 9, 2025 5:59 PM;Wilson Silva;15/01/2025;Aprovado;Social G4
[YOUTUBE] [G4 Educacao] Video BBB 25;January 10, 2025 10:04 AM;Raffaella Lima;;Aprovado;Youtube G4
[MATRICIAL][MENTOR MANIA] Gustavo Martins;January 10, 2025 11:30 AM;;;Cancelado;Matricial
[PODCAST] PAPO DE GESTÃO - ALAN WICKAY;January 10, 2025 3:41 PM;Lucas Liberato;;Aprovado;Podcast
[G4 Skills] [Ads] [Zambi];January 10, 2025 6:00 PM;Wilson Silva;;Aprovado;Matricial
[Sala Secreta com TG] [16/01];January 13, 2025 10:38 AM;Amanda Rui;;Aprovado;Matricial
Demandas de Aftermovie;January 13, 2025 11:34 AM;Lucas Liberato;20/01/2025;Aprovado;
[VSL] [Online] VSL FG4 Alfredo;January 13, 2025 2:35 PM;Gui Juhas;24/02/2025;Aprovado;Educação
[AFTERMOVIE] Scale - SE 33;January 13, 2025 4:04 PM;Gui Juhas;03/02/2025;Aprovado;Comunidades
[SKILLS] Premiação Desafio Skills de Dezembro;January 14, 2025 10:05 AM;Gui Juhas;15/01/2025;Aprovado;Educação
[REELS] [NARDON] Pandemia BYD;January 14, 2025 1:21 PM;Wilson Silva;17/01/2025;Aprovado;Social G4
[REELS] [TALLIS] Plant Power;January 14, 2025 1:56 PM;Pedro Augusto;15/01/2025;Aprovado;
[VIDEO] [PEOPLE] APRESENTAÇÃO PEOPLE PLUS;January 14, 2025 2:13 PM;Wilson Silva;15/01/2025;Aprovado;Matricial
[REELS] [NARDON] Aprender por osmose;January 14, 2025 7:14 PM;Gustavo Cairo;16/01/2025;Aprovado;Social G4
[REELS] [NARDON] 5 tipos de comunicação;January 15, 2025 11:31 AM;Gustavo Cairo;20/01/2025;Aprovado;Social G4
[ADs] [Online] [Reuniao Estrategica - Traction] Rogerio Aluno G4;January 15, 2025 12:54 PM;Gui Juhas;15/01/2025;Aprovado;Educação
[REELS] [TALLIS] Obsessão vence talento;January 15, 2025 2:53 PM;Pedro Augusto;17/01/2025;Aprovado;
[REELS] [NARDON] Custo vs despesa;January 15, 2025 3:20 PM;Lucas Liberato;17/01/2025;Aprovado;Social G4
[REELS] [TALLIS] Você vai errar;January 15, 2025 6:03 PM;Pedro Augusto;17/01/2025;Aprovado;
[REELS] [NARDON] Pagar boleto;January 16, 2025 10:06 AM;Pedro Augusto;20/01/2025;Aprovado;Social G4
[Depoimentos] [Online] [ReuniaoEstrategica - Traction] Alunos;January 16, 2025 11:44 AM;Gui Juhas;16/01/2025;Aprovado;Educação
[REELS] [NARDON] Pico de estresse positivo;January 16, 2025 1:27 PM;Wilson Silva;17/01/2025;Aprovado;Social G4
[ADS] [IM] [TRACTION] TROCA DE ASSINATURAS;January 16, 2025 5:05 PM;Lucas Liberato;20/01/2025;Aprovado;Educação
[REELS] [NARDON] Promoção Q&A;January 17, 2025 4:27 PM;Wilson Silva;21/01/2025;Aprovado;Social G4
[EVENTO] [MATRICIAL]  [JOURNEY DAY] VÍDEO DE ABERTURA;January 20, 2025 11:17 AM;Lucas Liberato;27/01/2025;Aprovado;Matricial
[EVENTO] [MATRICIAL]  [JOURNEY DAY] VÍDEO DE ENCERRAMENTO;January 20, 2025 11:19 AM;Lucas Liberato;27/01/2025;Aprovado;Matricial
[REELS] [G4] Roteiro 1 | Dia 20;January 20, 2025 12:34 PM;Pedro Augusto;;Aprovado;Social G4
[REELS] [G4] Roteiro 2 | Dia 21;January 20, 2025 12:48 PM;Wilson Silva;21/01/2025;Aprovado;Social G4
[REELS] [G4] Roteiro 3 | dia 21;January 20, 2025 12:51 PM;Gustavo Cairo;23/01/2025;Aprovado;Social G4
[REELS] [G4] Roteiro 4 | Dia 22;January 20, 2025 12:53 PM;Wilson Silva;23/01/2025;Aprovado;Social G4
[REELS] [G4] Roteiro 5 | Dia 22;January 20, 2025 12:54 PM;Gustavo Cairo;27/01/2025;Aprovado;Social G4
[YOUTUBE] [G4 EDUCAÇÃO] SAFs;January 20, 2025 2:09 PM;Raffaella Lima;;Aprovado;Youtube G4
[MANIFESTO] [GTM] Sprints Em Aumento De Receita;January 20, 2025 3:57 PM;Raffaella Lima;23/01/2025;Aprovado;Educação
[AFTERMOVIE] G4 Gestão de Pessoas;January 20, 2025 5:26 PM;Gui Juhas;09/05/2025;Aprovado;
[REELS] [NARDON] A Magia das Pessoas;January 20, 2025 5:29 PM;Raffaella Lima;28/01/2025;Aprovado;Social G4
[REELS] [TALLIS] Speech Trump;January 20, 2025 6:12 PM;Pedro Augusto;20/01/2025;Aprovado;
[ON] [FG4 MONITORIAS] Janeiro/2025;January 21, 2025 1:11 PM;Wilson Silva;27/01/2025;Aprovado;Educação
[REELS] [TALLIS] Trump, G4 e Davos;January 21, 2025 2:07 PM;Pedro Augusto;21/01/2025;Aprovado;
[ADs][G4 Sprints Aumento de Receita] Zambi e Jonathan Souza;January 21, 2025 4:42 PM;Gui Juhas;22/01/2025;Cancelado;Educação
[REELS] [TALLIS] Davos - Resumo dia 1;January 22, 2025 10:57 AM;Pedro Augusto;23/01/2025;Aprovado;
[ADs] [Online] [FG4] Alfredo Soares;January 22, 2025 2:18 PM;Pedro Augusto;28/01/2025;Aprovado;Educação
[Online]Curso Product Management Avançado ;January 22, 2025 5:44 PM;Gustavo Cairo;25/02/2025;Aprovado;Educação
[EVENTO] [MATRICIAL]  [JOURNEY DAY] MOTIONS TELÃO;January 23, 2025 10:02 AM;Pedro Augusto;27/01/2025;Aprovado;Educação
[REELS] [G4] Resumo dia 03 - Davos;January 23, 2025 5:18 PM;Gui Juhas;23/01/2025;Aprovado;Social G4
G4 Precificação;January 27, 2025 9:38 AM;Gui Juhas;;Aprovado;Educação
[AFTERMOVIE] Journey Day;January 27, 2025 2:19 PM;Pedro Augusto;03/02/2025;Aprovado;Educação
[AFTERMOVIE] Alumni T15;January 27, 2025 2:22 PM;Gui Juhas;03/02/2025;Aprovado;
[CURSO] [Gravação + Edição] Fundamentos em Contratação;January 27, 2025 3:59 PM;Gui Juhas;20/02/2025;Aprovado;Educação
[MATRICIAL] [MANIFESTO] G4 Pelo Brasil;January 27, 2025 4:00 PM;Wilson Silva;04/02/2025;Aprovado;Matricial
[DEPOIMENTOS] Sprints;January 27, 2025 4:14 PM;Gui Juhas;28/01/2025;Aprovado;
[MATRICIAL] [ENCONTRO ALUMNI] T15;January 28, 2025 9:54 AM;Gui Juhas;;Cancelado;Matricial
[Vinhetas] Traction Journey Experience - Turma 04 (Fevereiro);January 28, 2025 5:04 PM;Gui Juhas;;Aprovado;
[Vinhetas] Traction Journey Experience - Turma 05 (Março);January 28, 2025 5:20 PM;Gui Juhas;09/03/2025;Aprovado;
[REELS] [NARDON] Valor ao cliente;January 28, 2025 7:24 PM;Wilson Silva;;Aprovado;Social G4
[REELS] [TALLIS] ADS para seguidores;January 29, 2025 1:58 PM;Pedro Augusto;31/01/2025;Aprovado;
[REELS] [NARDON] Pior conselho;January 29, 2025 3:51 PM;Gui Juhas;05/03/2025;Aprovado;Social G4
[REELS] [NARDON] Tigrinho Manu Cit;January 29, 2025 3:52 PM;Raffaella Lima;04/02/2025;Aprovado;Social G4
[ADs] [IM] [GE] Tallis Gomes;January 29, 2025 4:57 PM;Wilson Silva;12/02/2025;Aprovado;
[Edição de vídeo] [Online] Vídeo Talis;January 30, 2025 7:20 PM;Gui Juhas;31/01/2025;Aprovado;Educação
[ADs][G4 SKILLS] Bruno Nardon;January 31, 2025 9:56 AM;Pedro Augusto;04/02/2025;Aprovado;Matricial
[PODCAST] [EXTREMOS] Alexandre Baldy;January 31, 2025 11:22 AM;Gui Juhas;05/02/2025;Aprovado;Podcast
[PODCAST] [GERAÇÃO G4] VALLEY24 | João Torre;January 31, 2025 11:39 AM;Gui Juhas;05/02/2025;Aprovado;Podcast
ok [SCL] [Scale Meeting] MKT_N01;January 31, 2025 12:57 PM;Gustavo Cairo;25/02/2025;Aprovado;Comunidades
[AFTERMOVIE] GE T123;January 31, 2025 1:13 PM;Gui Juhas;30/05/2025;Aprovado;
[PODCAST] [PAPO DE GESTÃO] Julian Tonioli;January 31, 2025 1:25 PM;Gui Juhas;;Aprovado;Podcast
[PODCAST] [EXTREMOS] Artur Aguiar;January 31, 2025 1:30 PM;Gui Juhas;11/02/2025;Aprovado;Podcast
[PODCAST] [PAPO DE GESTÃO] Alex Anton;January 31, 2025 1:37 PM;Gustavo Cairo;;Aprovado;Podcast
NÃO EDITAR ❌ [PODCAST] [GERAÇÃO G4] Adriana Tavares (Club);January 31, 2025 1:42 PM;Raffaella Lima;;Cancelado;Podcast
[COUNTDOWN] [PROGRAMAS DE GESTÃO] CONTAGEM REGRESSIVA PARA O TRACTION JOURNEY;January 31, 2025 2:57 PM;Gui Juhas;;Aprovado;
[ADs] [IM] [TRACTION] João Vitor;January 31, 2025 4:03 PM;Wilson Silva;10/02/2025;Aprovado;
[REELS] [G4] Em busca dos R$ 1 MM;January 31, 2025 5:29 PM;Raffaella Lima;03/02/2025;Aprovado;Social G4
[ONLINE] [JOURNEY][T03] [FELIPE WITT] [30/01/2025];January 31, 2025 6:39 PM;Gui Juhas;;Aprovado;Educação
[YOUTUBE] [G4] Mark Zuckerberg;February 3, 2025 10:37 AM;Raffaella Lima;;Aprovado;Youtube G4
[YOUTUBE] [TG] Suíça;February 3, 2025 12:00 PM;Pedro Augusto;;Aprovado;
[REELS] [TALLIS] Ajuste ADS TG seguidores;February 3, 2025 2:54 PM;Pedro Augusto;05/02/2025;Aprovado;
[ADs] [IM] [Traction] Bruno Nardon;February 3, 2025 3:58 PM;Raffaella Lima;10/02/2025;Aprovado;
[SCALE] Onboarding ;February 3, 2025 7:18 PM;Wilson Silva;24/02/2025;Aprovado;Comunidades
[YOUTUBE] [TG] Jiu Jitsu;February 5, 2025 3:33 PM;Lucas Liberato;;Aprovado;
[REELS] [G4] 24 milhões;February 6, 2025 11:28 AM;Wilson Silva;07/02/2025;Aprovado;Social G4
[PODCAST] [PAPO DE GESTÃO] Marco França (Sucessão e Governança);February 6, 2025 12:44 PM;Gui Juhas;17/02/2025;Aprovado;Podcast
[EDIÇÃO DE VÍDEO] AULA MISA | Traction Exclusive Journey;February 6, 2025 2:42 PM;Gustavo Cairo;07/02/2025;Aprovado;
[ADs] [Traction] Renato Barros;February 6, 2025 4:58 PM;Raffaella Lima;;Aprovado;
[Ads]G4 Sprints: Aumento de Receita;February 7, 2025 3:47 PM;Wilson Silva;21/02/2025;Aprovado;
[REELS][NARDON] Tomar risco;February 7, 2025 3:49 PM;Pedro Augusto;;Cancelado;Social G4
[REELS][NARDON] Tiro o chapéu;February 7, 2025 3:49 PM;Gui Juhas;11/02/2025;Aprovado;Social G4
[REELS][NARDON] Mão de vaca;February 7, 2025 4:04 PM;Lucas Liberato;;Aprovado;Social G4
[ADS] G4 Sprints: Planejamento Estratégico.;February 7, 2025 5:57 PM;Wilson Silva;21/02/2025;Aprovado;
[AFTERMOVIE] CX T26;February 7, 2025 5:58 PM;Lucas Liberato;;Aprovado;
[AFTERMOVIE] Sales T41;February 7, 2025 6:04 PM;Wilson Silva;10/03/2025;Aprovado;
Conectando os Pontos - SuperBowl;February 10, 2025 10:58 AM;Pedro Augusto;14/02/2025;Aprovado;Youtube G4
G4 pelo Brasil - Reduzir tamanho do vídeo;February 10, 2025 12:00 PM;Gui Juhas;10/02/2025;Aprovado;Matricial
ADS - Reunião Estratégica - GTM- Traction;February 10, 2025 1:48 PM;;;Cancelado;
Demanda de ADs - Reunião Estratégica - Traction - Zambi ;February 10, 2025 2:56 PM;Gui Juhas;;Aprovado;
Demanda Manifesto - Reunião Estratégica - Zambi;February 10, 2025 2:59 PM;Wilson Silva;12/02/2025;Aprovado;
Tutorial Zoom Meeting;February 10, 2025 5:09 PM;Gui Juhas;;Cancelado;Matricial
[REELS[NARDON] Número de likes;February 11, 2025 9:33 AM;Lucas Liberato;14/02/2025;Aprovado;Social G4
[REELS][NARDON] Não existe fórmula;February 11, 2025 9:36 AM;Gustavo Cairo;18/02/2025;Aprovado;Social G4
[REELS][NARDON] Consumo de conteúdo;February 11, 2025 9:43 AM;Lucas Liberato;18/02/2025;Aprovado;Social G4
[SCALE] Corte Palestra Valley;February 11, 2025 12:10 PM;Gui Juhas;;Aprovado;Comunidades
Demanda de Edição - Aulas Ao vivo | G4 Monitorias com Max Satiro;February 11, 2025 12:45 PM;Gui Juhas;14/02/2025;Aprovado;Educação
[PODCAST] [EXTREMOS] Martha Leonardis (BTG);February 11, 2025 2:17 PM;Gustavo Cairo;25/02/2025;Aprovado;Podcast
Edição - Aulas Ao Vivo | G4 GEMP: Aula Inaugural;February 12, 2025 8:58 AM;Gustavo Cairo;15/02/2025;Aprovado;Educação
[YOUTUBE] [CANAL TG] One Day - Super Bowl;February 12, 2025 2:07 PM;Wilson Silva;19/02/2025;Aprovado;
[REELS] [NARDON] Apostar num sonho;February 13, 2025 11:21 AM;Gustavo Cairo;;Cancelado;Social G4
[REELS] [NARDON] Entregar o ano;February 13, 2025 12:28 PM;Raffaella Lima;20/02/2025;Aprovado;Social G4
[Club] [Trilha: Posicionamento de Alto Impacto] Ilana;February 13, 2025 2:50 PM;Gustavo Cairo;25/02/2025;Aprovado;Comunidades
[EDIÇÃO DE VÍDEO] [ONLINE - JOURNEY T03] EDIÇÃO DE 06 CASES DA TRACTION EXCLUSIVE DE FEVEREIRO (Grupo 3);February 14, 2025 3:23 PM;Gustavo Cairo;;Cancelado;Educação
[EDIÇÃO DE VÍDEO] [ONLINE - JOURNEY T03] EDIÇÃO DE 06 CASES DA TRACTION EXCLUSIVE DE FEVEREIRO (Grupo 1);February 14, 2025 3:47 PM;Gui Juhas;;Cancelado;Educação
[JOURNEY] - T03 - (Grupo 2);February 14, 2025 3:49 PM;Raffaella Lima;;Cancelado;Educação
[EDIÇÃO DE VÍDEO] [ONLINE - JOURNEY T03] EDIÇÃO DE 06 CASES DA TRACTION EXCLUSIVE DE FEVEREIRO (Grupo 4);February 14, 2025 3:52 PM;Gui Juhas;27/02/2025;Aprovado;Educação
[EDIÇÃO DE VÍDEO] [ONLINE - JOURNEY T03] EDIÇÃO DE 06 CASES DA TRACTION EXCLUSIVE DE FEVEREIRO (Grupo 6);February 14, 2025 3:53 PM;Gui Juhas;;Cancelado;Educação
[EDIÇÃO DE VÍDEO] [ONLINE - JOURNEY T03] EDIÇÃO DE 06 CASES DA TRACTION EXCLUSIVE DE FEVEREIRO (Grupo 5);February 14, 2025 3:58 PM;Gui Juhas;;Cancelado;Educação
[PODCAST] [EXTREMOS] Luccas Riedo;February 17, 2025 3:29 PM;Gui Juhas;;Aprovado;Podcast
[YOUTUBE] [G4] Conectando os pontos - Deepseek;February 17, 2025 3:36 PM;Pedro Augusto;21/02/2025;Aprovado;Youtube G4
[ADs] [G4PeloBrasil] Tuca Tapajós;February 18, 2025 10:38 AM;Gustavo Cairo;;Aprovado;Matricial
[REELS] [TALLIS] G4 Expedition - TG;February 18, 2025 3:18 PM;Pedro Augusto;20/02/2025;Aprovado;
[ONLINE] [JOURNEY] [T03] [MARCELA ZAIDEM] [19/02/2025];February 18, 2025 3:55 PM;Gui Juhas;20/02/2025;Aprovado;Educação
[PODCAST] [VOX] Fábio Gurgel;February 18, 2025 6:26 PM;Gui Juhas;20/02/2025;Aprovado;Podcast
[AFTERMOVIE] SCALE 03;February 19, 2025 9:03 AM;Gui Juhas;19/03/2025;Aprovado;Comunidades
Edição - Aulas Ao Vivo | G4 GEMP: Planejamento Estratégico;February 19, 2025 9:34 AM;Gui Juhas;21/02/2025;Aprovado;Educação
[REELS] [TALLIS] Trailer Super Bowl;February 19, 2025 1:34 PM;Pedro Augusto;25/02/2025;Aprovado;
[Produtos Presenciais] [Sales] Deck de Vendas;February 19, 2025 2:22 PM;Wilson Silva;13/03/2025;Aprovado;
[Club] [Trilha de empreendedorismo jovem] Aula 3;February 20, 2025 4:59 PM;Gustavo Cairo;;Aprovado;Comunidades
[YOUTUBE] [G4 EDUCAÇÃO] TRUMP;February 21, 2025 11:25 AM;Raffaella Lima;;Aprovado;Youtube G4
[ONLINE] [JOURNEY] [TURMA 3] [Q&A - YAGO MARTINS] [26/02/2025];February 24, 2025 1:22 PM;Gui Juhas;27/02/2025;Aprovado;Educação
[PODCAST] [EXTREMOS] Reinaldo Zanon;February 25, 2025 9:58 AM;Lucas Liberato;28/02/2025;Aprovado;Podcast
[PODCAST] [PAPO DE GESTÃO] Paulo Geremia e Jandir Dalberto;February 25, 2025 2:20 PM;Lucas Liberato;27/02/2025;Aprovado;Podcast
[PODCAST] [PAPO DE GESTÃO] Fernando Cinelli;February 25, 2025 2:24 PM;Lucas Liberato;;Aprovado;Podcast
[PODCAST] [VOX] Alex Atala;February 25, 2025 2:33 PM;Gustavo Cairo;19/03/2025;Aprovado;Podcast
[REUNIÃO ESTRATÉGICA] [ONLINE] NARDON 24/02;February 25, 2025 3:24 PM;Gui Juhas;25/02/2025;Aprovado;Educação
Edição - Aulas Ao Vivo | G4 GEMP: Finanças Empresariais;February 25, 2025 8:14 PM;Gui Juhas;28/02/2025;Aprovado;Educação
[MATRICIAL] [DEPOIMENTO] TUCA;February 26, 2025 11:14 AM;Lucas Liberato;;Aprovado;Matricial
[YOUTUBE] [G4 EDUCAÇÃO] COCA ZERO - Conectando os pontos;February 27, 2025 1:55 PM;Raffaella Lima;;Aprovado;Youtube G4
[REELS] [Tallis] Trailer COMO EU VIVO A ALTA PERFORMANCE;February 27, 2025 2:10 PM;Pedro Augusto;;Aprovado;
[REELS] [ALFREDO] Corte G4 Day 2024;February 27, 2025 3:35 PM;Gustavo Cairo;04/03/2025;Aprovado;Social G4
[REELS] [TALLIS] Corte G4 Day;February 27, 2025 3:59 PM;Pedro Augusto;02/03/2025;Aprovado;
[DEPOIMENTO] [VALLEY] [BETO QUINTÃO];February 27, 2025 4:43 PM;Gui Juhas;28/02/2025;Aprovado;Matricial
[REELS] [NARDON] Mentoria GE Especial ;February 27, 2025 10:37 PM;Pedro Augusto;06/03/2025;Aprovado;Social G4
[REELS] [NARDON] Marca de luxo ;February 28, 2025 9:23 AM;Raffaella Lima;;Aprovado;Social G4
[ONLINE] [JOURNEY] [TURMA 3] [TRACTION EXCLUSIVE MARÇO] [06/03/2025];February 28, 2025 10:11 AM;Lucas Liberato;07/03/2025;Aprovado;Educação
[REELS] [G4] Fernando Soares - G4 Day;February 28, 2025 4:40 PM;Wilson Silva;03/03/2025;Aprovado;Social G4
[AFTERMOVIE] [SCALE] [OPEN COMPANY];February 28, 2025 6:23 PM;Gui Juhas;19/03/2025;Aprovado;Comunidades
[MATRICIAL][EVENTO LIDERANÇA] Vídeo de Abertura;March 5, 2025 1:36 PM;Wilson Silva;10/03/2025;Aprovado;
[REELS] [NARDON] Trate bem seu cliente;March 6, 2025 2:11 PM;Lucas Liberato;07/03/2025;Cancelado;Social G4
[PODCAST] [EXTREMOS] Zanna;March 6, 2025 3:36 PM;Lucas Liberato;;Aprovado;Podcast
[REELS] [NARDON] Marca Forte_G4 Day;March 6, 2025 5:26 PM;Pedro Augusto;10/03/2025;Aprovado;Social G4
[REELS] [NARDON] Otimizar_G4 Day;March 7, 2025 10:44 AM;Lucas Liberato;;Cancelado;Social G4
[REELS] [ALFREDO] G4 Day corte 2;March 7, 2025 11:20 AM;Lucas Liberato;10/03/2025;Aprovado;Social G4
[REELS] [G4] Dener - G4 Day;March 7, 2025 11:43 AM;Gui Juhas;08/03/2025;Aprovado;Social G4
[REELS] [NARDON] Curto Prazo;March 7, 2025 12:40 PM;Gustavo Cairo;11/03/2025;Aprovado;Social G4
[ONLINE][JOURNEY] [TURMA 3] [MENTORIA FELIPE HATAB] [13/03/2025];March 7, 2025 2:21 PM;Gustavo Cairo;14/03/2025;Aprovado;Educação
[Programas Presenciais] [AI Academy][Vídeo] Depoimento do mentor Rafael Milagre;March 7, 2025 3:25 PM;Erik Gomes;25/03/2025;Aprovado;
[Produtos Presenciais] [AI Academy] Deck de vendas ;March 7, 2025 3:37 PM;Joyce Moraes;25/03/2025;Aprovado;
[DEPOIMENTOS] AI Academy T06;March 7, 2025 4:18 PM;Joyce Moraes;01/04/2025;Aprovado;
[YOUTUBE] [G4 Educacao] Mc Donalds;March 10, 2025 9:45 AM;Raffaella Lima;13/03/2025;Aprovado;Youtube G4
[PODCAST] [PAPO DE GESTÃO] ALVARO SCHOCAIR;March 10, 2025 10:03 AM;Gui Juhas;;Aprovado;Podcast
[CURSO] Experiência do Cliente - Módulo 5;March 10, 2025 11:12 AM;Raffaella Lima;01/04/2025;Aprovado;Educação
